0 8188: 0: =951,                        8188: 0: =951,
1 8195: 0: =909,                        8195: 0: =909,
2 9036: 0: =919,                        9036: 0: =919,
3 9101: 0: =956,                        9101: 0: =956,
4 9152: 0: =924,                        9152: 0: =924,
5 9301: 0: =957,                        9301: 0: =957,
6 9401: 0: =961,                        9401: 0: =961,
7 9446: 0: =913,                        9446: 0: =913,
8 9453: 0: =951,                        9453: 0: =951,
9 9501: 0: =962,                        9501: 0: =962,
10 9556: 0: =941,                       9556: 0: =941,
11 9601: 0: =963,                       9601: 0: =963,
12 9686: 0: =909,                       9686: 0: =909,
13 9801: 0: =911,                       9801: 0: =911,
14 9812: 0: =913,                       9812: 0: =913,
15 9901: 0: =964,                       9901: 0: =964,
16 10001: 0: =954,                      10001: 0: =954,
17 10033: 0: =962,                      10033: 0: =962,
18 10061: 0: =936,                      10061: 0: =936,
19 10201: 0: =928,                      10201: 0: =928,
20 10258: 0: =909,                      10258: 0: =909,
21 10259: 0: =909,                      10259: 0: =909,
22 10297: 0: =906,                      10297: 0: =906,
23 10302: 0: =907,                      10302: 0: =907,
24 10401: 0: =958,                      10401: 0: =958,
25 10473: 0: =953,                      10473: 0: =953,
26 10530: 0: =954,                      10530: 0: =954,
27 10601: 0: =952,                      10601: 0: =952,
28 10617: 0: =901,                      10617: 0: =901,
29 10901: 0: =935,                      10901: 0: =935,
30 10916: 0: =937,                      10916: 0: =937,
31 10952: 0: =937,                      10952: 0: =937,
32 11001: 0: =906,                      11001: 0: =906,
33 11018: 0: =929,                      11018: 0: =929,
34 11032: 0: =930,                      11032: 0: =930,
35 11042: 0: =906,                      11042: 0: =906,
36 11046: 0: =933,                      11046: 0: =933,
37 11048: 0: =934,                      11048: 0: =934,
38 11061: 0: =910,                      11061: 0: =910,
39 11063: 0: =934,                      11063: 0: =934,
40 11067: 0: =907,                      11067: 0: =907,
41 11072: 0: =929,                      11072: 0: =929,
42 11091: 0: =909,                      11091: 0: =909,
43 11201: 0: =926,                      11201: 0: =926,
44 11212: 0: =918,                      11212: 0: =918,
45 11243: 0: =927,                      11243: 0: =927,
46 11261: 0: =916,                      11261: 0: =916,
47 11271: 0: =916,                      11271: 0: =916,
